Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110316,8767.2,8763.95,3720509952,-293.6642279,-179.0490048,563.36,10169.90075,10090.756,-1431.47,9601.634,-1530.37,-14.40471607,-0.140968938,-27857758.8,76.18,0.13615
20110317,8913.35,8639.56,3120828672,-350.9522687,-139.7726287,454.16,10054.9264,9928.421,-1626.83,9307.292,-1791.36,-16.6575693,-0.161870679,-31791503.79,75.99,0.13615
20110318,9083.95,9073.25,2453847808,-372.365836,-86.73357271,312.93,9974.147691,9779.73,-1227.63,9097.756,-1285.63,-12.25298741,-0.123585676,-26774296.48,75.56,0.13615
20110322,9403.05,9395.85,2525704960,-352.8652881,-41.98333526,418.28,9939.306958,9690.06,-12.17,9095.322,-1085.34,-10.14937823,-0.087111967,-6464966.556,75.47,0.13615
20110323,9590.38,9387.95,2651119616,-346.2376191,-41.49187739,220.37,9892.65582,9582.488,844.32,9264.186,-1055.55,-10.04805322,-0.107656641,-35157539.31,75.9,0.13692
20110324,9479.77,9418.71,2001238784,-338.2527773,-37.32001971,91.14,9849.070503,9467.039,341.29,9332.444,-1090.18,-10.35781777,-0.095776654,-33684620,75.7,0.13615
20110325,9565.49,9469.37,2037289216,-320.0755619,-23.02315897,134.7,9819.266646,9377.214,573.46,9447.136,-1053.37,-9.947306294,-0.070047774,-43594420.51,76.14,0.13615
20110328,9541.76,9405.2,1927184000,-306.7814409,-22.46889249,136.56,9786.815537,9299.624,271.78,9501.492,-955.85,-9.160582612,-0.014756005,-59682295.21,76.21,0.13615
20110329,9348.6,9317.38,2005688064,-294.4213012,-22.07770455,184.85,9755.602629,9283.483,252.33,9471.644,-795.35,-7.756160021,0.090276221,-35785729.94,76.17,0.13615
20110330,9489.51,9479.03,2170792960,-261.4623165,28.91947843,249.71,9751.144283,9393.847,100.47,9523.508,88.3,0.917832668,0.06335187,-13237603.79,76.09,0.13615
20110331,9765.28,9658.64,1870962432,-228.9658776,69.66231469,107.17,9751.521018,9459.985,305.63,9587.526,1149.95,13.36350906,0.081232381,-1994614.345,75.98,0.13615
20110401,9757.28,9698.6,1915411840,-204.6225607,91.41287687,123.46,9747.413302,9534.557,273.38,9621.978,614.67,6.759280031,0.051670771,-19723448.36,75.82,0.13571
20110404,9773.91,9718.89,1717654400,-182.3806736,92.98380487,100.21,9744.696797,9585.771,283.88,9670.05,625.17,6.874744329,0.011376814,-42656058.04,75.92,0.13571
20110405,9732.26,9566.05,1828966144,-171.1199282,60.86451678,166.21,9732.397102,9586.494,180.54,9701.344,521.83,5.7383557,0.017272023,-70499973.1,75.92,0.13571
20110406,9668.11,9562.16,2032852480,-162.8346156,41.90900526,109.3,9718.299283,9599.984,48.24,9676.46,621.7,6.936549042,0.015583706,-73001857.24,75.55,0.13571
20110407,9652.65,9578.47,1653776128,-153.9643039,35.42654902,108.71,9706.168875,9615.576,112.4,9643.626,384.18,4.172807994,0.005713732,-92095302.22,75.57,0.13571
